"session";"created";"modified";"ended";"expired";"last_outside_referrer";"browser";"server_start";"consent";"gender";"age";"edu_highest";"SES_subj";"state";"work";"study";"relationship";"relationship_qual";"income_before";"income_now";"offline_purchase";"online_purchase";"credit_card";"credit_card_amount";"debt";"debt_amount";"clothes";"shoes";"jewellery";"electronics";"grocery";"gift";"books_movies_music_games";"health_beauty";"bags_accessories";"hobby";"clothes_value";"shoes_value";"jewellery_value";"electronics_value";"grocery_value";"gift_value";"books_movies_music_games_value";"health_beauty_value";"bags_accessories_value";"hobby_value";"attention_check_1";"coss_salience_1";"coss_salience_2";"coss_salience_3";"coss_salience_4";"coss_moodMod_1";"coss_moodMod_2";"coss_moodMod_3";"coss_moodMod_4";"coss_conflict_1";"coss_conflict_2";"coss_conflict_3";"coss_conflict_4";"coss_tolerance_1";"coss_tolerance_2";"coss_tolerance_3";"coss_tolerance_4";"coss_relapse_1";"coss_relapse_2";"coss_relapse_3";"coss_relapse_4";"coss_withdrawal_1";"coss_withdrawal_2";"coss_withdrawal_3";"coss_withdrawal_4";"coss_problems_1";"coss_problems_2";"coss_problems_3";"coss_problems_4";"bergen_salience_1";"bergen_salience_2";"bergen_salience_3";"bergen_salience_4";"bergen_moodMod_1";"bergen_moodMod_2";"bergen_moodMod_3";"bergen_moodMod_4";"bergen_conflict_1";"bergen_conflict_2";"bergen_conflict_3";"bergen_conflict_4";"bergen_tolerance_1";"bergen_tolerance_2";"bergen_tolerance_3";"bergen_tolerance_4";"bergen_relapse_1";"bergen_relapse_2";"bergen_relapse_3";"bergen_relapse_4";"bergen_withdrawal_1";"bergen_withdrawal_2";"bergen_withdrawal_3";"bergen_withdrawal_4";"bergen_problems_1";"bergen_problems_2";"bergen_problems_3";"bergen_problems_4";"attention_check_2";"ciss_1_task";"ciss_2_task";"ciss_3_task";"ciss_4_task";"ciss_5_task";"ciss_6_task";"ciss_7_task";"ciss_8_emot";"ciss_9_emot";"ciss_10_emot";"ciss_11_emot";"ciss_12_emot";"ciss_13_emot";"ciss_14_emot";"ciss_15_treat";"ciss_16_treat";"ciss_17_treat";"ciss_18_contact";"ciss_19_contact";"ciss_20_contact";"pss_1";"pss_2";"pss_3";"pss_4r";"pss_5r";"pss_6r";"pss_7r";"pss_8";"pss_9r";"pss_10r";"pss_11";"pss_12";"pss_13r";"pss_14";"stress_outbreak";"BAs_alcohol";"BAs_smoking";"BAs_legal_drug";"BAs_illegal_drug";"BAs_gambling";"BAs_gaming";"BAs_overeating";"BAs_other";"BAs_other_text";"BAs_other_freq";"sds_2r";"sds_3r";"sds_4r";"sds_5r";"sds_6";"sds_7";"sds_8";"sds_9";"sds_10";"attention_check_3";"sds_1r";"age2";"feedback"
"ZdR4aDaGJREjwULfxfiD9t796-m96z2kVJXS9QXAZDOilVVXuXYQHk18iP2cKNzO";"2020-03-26 20:49:59";"2020-03-26 21:34:25";"2020-03-26 21:34:25";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=39GAF6DQWWCLMDSB5XSYQI6VRFE1V3&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A1O5IL3N3G3WIL&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"1";"1";"45";"3";"average";"Michigan";"1";"2";"2";"";"";"";"1";"2";"1";"";"1";"";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"";"";"";"";"100_250";"";"";"less_than_50";"";"";"5";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"5";"4";"5";"4";"5";"5";"4";"1";"1";"1";"1";"1";"4";"2";"4";"1";"3";"5";"4";"4";"3";"2";"4";"4";"4";"4";"4";"2";"3";"4";"4";"3";"4";"2";"9";"";"";"";"";"";"";"";"";"";"";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"45";""
"0v2PdEJtuooIxQPXG_GbwgttdaskqX10XRzz9v9m4XLZCiadfqumJvebwooWBKYk";"2020-03-26 20:50:07";"2020-03-26 20:55:31";"2020-03-26 20:55:31";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=36ZN444YTWA1WZFCCSRQNPT9COSIOA&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A12OZ7P7Z41SJI&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"1";"2";"56";"3";"poor";"Pennsylvania";"1";"2";"2";"";"15_25k";"15_25k";"1";"2";"1";"";"1";"";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"";"";"";"";"50_100";"";"";"";"";"";"5";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"4";"3";"3";"3";"3";"4";"3";"1";"1";"1";"1";"1";"1";"1";"3";"1";"1";"2";"3";"4";"2";"2";"2";"4";"4";"4";"4";"2";"4";"4";"2";"3";"4";"1";"6";"";"";"";"";"";"";"";"";"";"";"2";"2";"1";"2";"2";"1";"2";"2";"1";"2";"2";"56";""
"uqdr_Z1czUH1Z7iI_fgCeI-js-2jr53QPG8WjEZKD4nGYyeOD4hOVUvKDmum6xDv";"2020-03-26 20:50:11";"2020-03-26 21:00:06";"2020-03-26 21:00:06";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=3TR2532VIU6724TEUEQWIQMI43N6JL&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A3S3WYVCVWW8IZ&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"1";"2";"34";"4";"average";"Texas";"1";"2";"1";"1";"50-75k";"50-75k";"2";"2";"1";"";"1";"";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"";"";"";"";"50_100";"less_than_50";"";"";"";"";"5";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"5";"4";"4";"3";"5";"5";"4";"3";"3";"2";"3";"3";"4";"2";"1";"2";"2";"2";"3";"1";"2";"2";"4";"1";"4";"4";"1";"4";"4";"1";"3";"1";"2";"4";"";"";"";"";"";"";"";"";"";"";"2";"1";"1";"2";"1";"1";"1";"2";"1";"2";"1";"34";""
"uM4_F2OzWYrqEC-GKGXJls_TF_3-iq-tCz93l_JgTBstb8hxrcgtkjnuhaFPl4MK";"2020-03-26 20:50:45";"2020-03-26 21:06:09";"2020-03-26 21:06:09";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=3PMBY0YE2CF7C9P6ITCMFW0P4KM9CL&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A3CGQOJC28OVGN&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"1";"1";"33";"4";"poor";"Oklahoma";"2";"2";"1";"1";"25_35k";"25_35k";"2";"2";"1";"";"1";"";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"";"";"";"50_100";"100_250";"";"";"";"";"";"5";"1";"2";"3";"2";"2";"4";"4";"1";"1";"3";"1";"2";"4";"2";"2";"1";"2";"1";"1";"4";"2";"1";"2";"4";"4";"1";"1";"4";"2";"1";"1";"2";"4";"4";"2";"4";"1";"2";"1";"5";"4";"4";"1";"2";"2";"4";"4";"2";"1";"4";"4";"4";"4";"2";"1";"4";"1";"5";"4";"5";"5";"4";"5";"5";"2";"4";"2";"3";"4";"5";"3";"4";"1";"4";"1";"1";"2";"4";"3";"4";"4";"5";"4";"2";"3";"1";"3";"2";"3";"5";"3";"8";"";"";"";"";"";"";"";"";"";"";"2";"2";"1";"2";"1";"1";"1";"1";"2";"2";"1";"33";""
"XDNanO_O4bT3D5bp2QdefvcuYud9a3PBtUzeCKxAtfUJaYHxOZb-z6R1Cu3p0I4P";"2020-03-26 20:52:47";"2020-03-26 21:05:29";"2020-03-26 21:05:29";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=3PDJHANYKASBBYYO6ENB6D63RBJ6HG&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A1M7G9KKXWH76A&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0";"Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0";"1";"2";"48";"4";"average";"Maryland";"1";"2";"1";"3";"50-75k";"50-75k";"2";"2";"1";"";"1";"";"2";"2";"2";"2";"1";"2";"1";"1";"2";"2";"";"";"";"";"250_500";"";"50_100";"less_than_50";"";"";"5";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"5";"3";"4";"4";"5";"4";"4";"1";"1";"1";"1";"1";"3";"2";"3";"2";"3";"2";"3";"2";"3";"4";"2";"4";"4";"4";"4";"1";"4";"4";"3";"5";"5";"1";"9";"";"";"";"";"";"";"";"";"";"";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"48";""
"P02e-78mRkUKz2fF08yQpog6LVPnLeVMtXGx496DlItBA_n-MddgkqDK13nXCf7A";"2020-03-26 20:58:52";"2020-03-26 21:09:08";"2020-03-26 21:09:08";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=3P529IW9K3X9GNAPYS5DSBCN1RVLF5&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A1OSRAPSRT934Z&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"1";"1";"30";"4";"average";"North_Carolina";"1";"2";"1";"2";"35_50k";"35_50k";"2";"1";"1";"";"1";"";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"";"";"";"";"50_100";"";"";"less_than_50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"4";"4";"4";"1";"1";"4";"1";"1";"1";"1";"5";"1";"2";"4";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"5";"5";"5";"4";"5";"2";"3";"1";"4";"1";"4";"3";"4";"3";"3";"4";"5";"3";"5";"5";"5";"4";"3";"3";"2";"3";"3";"3";"5";"2";"3";"3";"10";"";"";"";"";"";"";"";"";"";"";"2";"1";"1";"1";"2";"1";"1";"2";"2";"2";"1";"30";""
"PqPoVxg8B4MlS_1qX3phuySYGknr43-Xa76uXGfYtRBqvyyeJctNj2d82s8uw0wW";"2020-03-26 20:58:58";"2020-03-26 21:06:33";"2020-03-26 21:06:33";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=3E7TUJ2EGHYHH1VKIP7XZ2I7PKY9DL&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A3UDUHUVFKD833&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"1";"1";"37";"2";"poor";"Michigan";"2";"2";"1";"1";"15_25k";"under_15";"2";"2";"1";"";"1";"";"2";"2";"2";"2";"1";"2";"1";"2";"2";"1";"";"";"";"";"50_100";"";"less_than_50";"";"";"less_than_50";"5";"1";"3";"1";"4";"4";"4";"4";"4";"1";"1";"1";"1";"3";"1";"1";"3";"2";"2";"2";"2";"1";"2";"1";"2";"1";"1";"2";"2";"1";"1";"1";"2";"4";"4";"3";"4";"1";"1";"1";"1";"3";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"2";"3";"2";"2";"2";"2";"4";"4";"3";"3";"4";"4";"3";"3";"3";"3";"3";"3";"2";"4";"3";"4";"2";"2";"2";"2";"3";"2";"2";"2";"3";"2";"3";"8";"";"";"";"";"";"";"";"";"";"";"2";"2";"1";"1";"2";"2";"1";"1";"1";"2";"1";"37";""
"JjqLUmqMKohubff54D-kqEuCv_m69vs9mBR2LCR0c5vuk8kdGM1H50IA2FVZLLjh";"2020-03-26 21:01:19";"2020-03-26 21:10:27";"";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=352YTHGRO0PXWBUANQUW9FMPVKD4HT&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A2FGKKWP33DFWS&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"1";"2";"51";"4";"average";"Georgia";"1";"2";"1";"1";"50-75k";"50-75k";"2";"2";"1";"";"1";"";"2";"2";"2";"1";"1";"2";"2";"1";"2";"2";"";"";"";"500_1000";"250_500";"";"";"100_250";"";"";"5";"2";"2";"4";"2";"1";"2";"2";"2";"2";"2";"1";"2";"4";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"1";"5";"5";"4";"4";"4";"4";"5";"1";"1";"1";"2";"1";"3";"1";"2";"1";"1";"3";"4";"3";"2";"3";"3";"4";"2";"4";"3";"2";"4";"3";"3";"4";"4";"2";"8";"";"";"";"";"";"";"";"";"";"";"2";"1";"1";"1";"1";"2";"2";"2";"1";"2";"1";"51";""
"4_Ln4M-6dsIepUJdEtggpz6r0N5HUax-XVyJru5RZbxJEv8D8XKTwhijt_LcndLS";"2020-03-26 21:02:42";"2020-03-26 21:06:47";"2020-03-26 21:06:47";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=3137ONMDKLH1OHWSSQORX1MFT9UEGA&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A12FTSX85NQ8N9&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (X11; CrOS armv7l 12105.100.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.144 Safari/537.36";"Mozilla/5.0 (X11; CrOS armv7l 12105.100.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.144 Safari/537.36";"1";"2";"27";"4";"poor";"Kentucky";"1";"2";"1";"3";"25_35k";"25_35k";"1";"1";"2";"100_250";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"4";"4";"4";"4";"4";"4";"1";"2";"1";"1";"1";"2";"1";"3";"2";"3";"3";"3";"2";"2";"2";"1";"4";"4";"4";"4";"1";"4";"4";"1";"3";"4";"1";"4";"";"";"";"";"";"";"";"";"";"";"2";"2";"1";"1";"2";"1";"1";"2";"1";"2";"2";"27";""
"anS22eAsj0ldZDrEjSovtf-R-tBtvjNOyS2my1NxPYeISQ_JhVCKGu1kWoAS9pc6";"2020-03-26 21:08:54";"2020-03-26 21:13:48";"2020-03-26 21:13:48";"";"https://www.mturkcontent.com/dynamic/hit?assignmentId=3SITXWYCN0LE30FY79M5KFGPT2DBXZ&hitId=3DZKABX20MH3NW4FVSCGIUT1LNWCVW&workerId=A26NGLGGFTATVN&turkSubmitTo=https%3A%2F%2Fwww.mturk.com";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36";"1";"2";"38";"2";"poor";"California";"1";"2";"2";"";"15_25k";"15_25k";"1";"2";"1";"";"1";"";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"";"";"";"";"100_250";"";"";"";"";"";"5";"1";"1";"3";"1";"1";"1";"1";"1";"1";"3";"1";"1";"3";"1";"2";"2";"1";"1";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"5";"5";"5";"5";"5";"5";"5";"1";"1";"1";"1";"1";"1";"3";"1";"1";"1";"3";"3";"1";"2";"1";"3";"5";"5";"5";"5";"1";"4";"5";"3";"4";"5";"1";"8";"";"";"";"";"";"";"";"";"";"";"2";"1";"1";"1";"1";"2";"1";"2";"2";"2";"2";"38";""
